ID,Type,Locale,Title,Slug,Description,Body,SEO Title,SEO Description,Featured Image,Featured Image Alt,CTA Blocks,OG Metadata,Additional Data
fff123b0-2b40-4f45-8350-76f15a5d8475,blogPost,ru,111,blog11,test,12345,test-blog,test-blog,,,,"{""image"":null,""type"":""article"",""publishedTime"":""2026-03-29T19:11:00.000Z""}","{""tags"":[""blog-tag""],""author"":""Pavlo Mytsyk"",""publishedAt"":""2026-03-29T19:11:00.000Z""}"
H8rzDM7imABUnWcWNGpKZC,faq,ru,Безопасно ли давать доступы?,,"Да. Мы запрашиваем доступы по принципу минимально необходимого и, где возможно, работаем в режиме чтения. Заранее согласовываем, какие именно доступы нужны.",,,,,,,,"{""category"":""omnidash"",""order"":0}"
H8rzDM7imABUnWcWNGpKgs,faq,ru,Что я получаю: просто дашборд или ещё и настройку?,,"Настроенную систему: подключение источников, логику расчёта показателей, дашборд и передачу в работу. Не просто красивый отчёт.",,,,,,,,"{""category"":""omnidash"",""order"":2}"
H8rzDM7imABUnWcWNGpKoY,faq,ru,Сколько времени занимает запуск?,,Обычно от нескольких дней до 1–2 недель — в зависимости от количества источников и качества исходных данных.,,,,,,,,"{""category"":""omnidash"",""order"":4}"
H8rzDM7imABUnWcWNGpKwE,faq,ru,"Если у меня нет CRM или идеального учёта расходов, можно стартовать?",,Да. Начинаем с упрощённой модели и постепенно улучшаем точность по мере подключения новых данных.,,,,,,,,"{""category"":""omnidash"",""order"":5}"
H8rzDM7imABUnWcWNGpL9f,faq,ua,У мене невеликий магазин. Це для мене?,,"Так. Для малого e-commerce OmniDash особливо корисний: коли рекламний бюджет обмежений, помилка в аналітиці коштує дорожче.",,,,,,,,"{""category"":""omnidash"",""order"":1}"
H8rzDM7imABUnWcWNGpLSr,faq,ua,Кому належать дані та дашборд?,,Дані клієнта залишаються даними клієнта. Формат доступу і володіння визначається обраним пакетом роботи.,,,,,,,,"{""category"":""omnidash"",""order"":7}"
H8rzDM7imABUnWcWNGpLaX,faq,ro,Am un magazin mic. Este potrivit și pentru mine?,,"Da. Tocmai pentru e-commerce-ul mic OmniDash este foarte util: când bugetul de reclamă este limitat, o greșeală în analytics costă mai mult.",,,,,,,,"{""category"":""omnidash"",""order"":1}"
H8rzDM7imABUnWcWNGpM3K,faq,ro,Ce aveți nevoie de la mine la început?,,"Un brief scurt, acces la sistemele necesare și informații despre modelul de costuri: costul produsului, livrare, comisioane.",,,,,,,,"{""category"":""omnidash"",""order"":6}"
H8rzDM7imABUnWcWNGpMGl,faq,ro,Cui aparțin datele și dashboard-ul?,,Datele clientului rămân ale clientului. Formatul de acces și ownership se definește în funcție de pachetul ales.,,,,,,,,"{""category"":""omnidash"",""order"":7}"
UhtN6rPJaY2J3E22gNazAa,faq,ru,Что нужно от меня на старте?,,"Короткий бриф, доступы к нужным системам и информация о модели расходов: себестоимость, доставка, комиссии.",,,,,,,,"{""category"":""omnidash"",""order"":6}"
UhtN6rPJaY2J3E22gNazY8,faq,ua,Чим це краще за вбудовану аналітику в Shopify / Meta Ads?,,Вбудовані кабінети показують лише свою частину. OmniDash дає цілісну картину: реклама + продажі + витрати + чистий результат.,,,,,,,,"{""category"":""omnidash"",""order"":3}"
UhtN6rPJaY2J3E22gNazhY,faq,ua,Скільки часу займає запуск?,,Зазвичай від кількох днів до 1–2 тижнів — залежно від кількості джерел і якості вихідних даних.,,,,,,,,"{""category"":""omnidash"",""order"":4}"
UhtN6rPJaY2J3E22gNazvg,faq,ro,Ce primesc: doar un dashboard sau și configurarea?,,"Un sistem configurat: conectarea surselor, logica indicatorilor, dashboard-ul și transferul în lucru. Nu doar un raport frumos.",,,,,,,,"{""category"":""omnidash"",""order"":2}"
UhtN6rPJaY2J3E22gNb09o,faq,ro,Cu ce este mai bun decât analytics-ul din Shopify / Meta Ads?,,Dashboard-urile standard arată doar partea lor. OmniDash oferă imaginea completă: reclamă + vânzări + cheltuieli + rezultat net.,,,,,,,,"{""category"":""omnidash"",""order"":3}"
c2738964-9e4c-43c7-ac5a-3d23451c43a7,faq,ru,Тестовый вопрос,,Тестовый ответ,,,,,,,,"{""category"":""general"",""order"":0}"
jtz4hoaXAenMcB4qySFz8N,faq,ru,У меня небольшой магазин. Это для меня?,,"Да. Дф. Дааа. Для малого e-commerce OmniDash особенно полезен: когда рекламный бюджет ограничен, ошибка в аналитике стоит дороже.",,,,,,,,"{""category"":""omnidash"",""order"":1}"
jtz4hoaXAenMcB4qySFzGh,faq,ru,Чем это лучше встроенной аналитики в Shopify / Meta Ads?,,Встроенные кабинеты показывают только свою часть. OmniDash даёт целостную картину: реклама + продажи + расходы + чистый результат.,,,,,,,,"{""category"":""omnidash"",""order"":3}"
jtz4hoaXAenMcB4qySFzbV,faq,ru,Кому принадлежат данные и дашборд?,,Данные клиента остаются данными клиента. Формат доступа и владения определяется выбранным пакетом работы.,,,,,,,,"{""category"":""omnidash"",""order"":7}"
jtz4hoaXAenMcB4qySFzjp,faq,ua,Чи безпечно давати вам доступи?,,"Так. Ми запитуємо доступи за принципом мінімально необхідного і, де можливо, працюємо в режимі читання. Заздалегідь погоджуємо, які саме доступи потрібні.",,,,,,,,"{""category"":""omnidash"",""order"":0}"
jtz4hoaXAenMcB4qySFzs9,faq,ua,Що я отримую: просто дашборд чи ще й налаштування?,,"Налаштовану систему: підключення джерел, логіку розрахунку показників, дашборд і передачу в роботу. Не просто гарний звіт.",,,,,,,,"{""category"":""omnidash"",""order"":2}"
jtz4hoaXAenMcB4qySG0Cx,faq,ua,"Якщо в мене немає CRM або ідеального обліку витрат, можна стартувати?",,Так. Починаємо зі спрощеної моделі й поступово покращуємо точність у міру підключення нових даних.,,,,,,,,"{""category"":""omnidash"",""order"":5}"
jtz4hoaXAenMcB4qySG0LH,faq,ua,Що потрібно від мене на старті?,,"Короткий бриф, доступи до потрібних систем і інформація про модель витрат: собівартість, доставка, комісії.",,,,,,,,"{""category"":""omnidash"",""order"":6}"
jtz4hoaXAenMcB4qySG0Zq,faq,ro,Este sigur să vă ofer acces?,,"Da. Solicităm acces după principiul minimului necesar și, acolo unde este posibil, lucrăm în regim read-only. Stabilim din start ce tip de acces este necesar.",,,,,,,,"{""category"":""omnidash"",""order"":0}"
jtz4hoaXAenMcB4qySG0ue,faq,ro,Cât durează lansarea?,,"De obicei de la câteva zile până la 1–2 săptămâni, în funcție de numărul surselor și calitatea datelor inițiale.",,,,,,,,"{""category"":""omnidash"",""order"":4}"
jtz4hoaXAenMcB4qySG19D,faq,ro,"Dacă nu am CRM sau o evidență perfectă a costurilor, putem începe?",,Da. Începem cu un model simplificat și îmbunătățim treptat precizia pe măsură ce conectăm surse noi.,,,,,,,,"{""category"":""omnidash"",""order"":5}"
H8rzDM7imABUnWcWNGpIpi,omnidashBlock,ru,pricing,,,,,,,,,,"{""blockType"":""pricing"",""order"":4}"
H8rzDM7imABUnWcWNGpKRW,omnidashBlock,ro,pricing,,,,,,,,,,"{""blockType"":""pricing"",""order"":4}"
H8rzDM7imABUnWcWNHI6Ga,omnidashBlock,ru,ctaBottom,,,,,,,,,,"{""blockType"":""ctaBottom"",""order"":5}"
UhtN6rPJaY2J3E22gNawMK,omnidashBlock,ru,hero,,,,,,,,,,"{""blockType"":""hero"",""order"":0}"
UhtN6rPJaY2J3E22gNawVk,omnidashBlock,ru,features,,,,,,,,,,"{""blockType"":""features"",""order"":2}"
UhtN6rPJaY2J3E22gNaxgk,omnidashBlock,ua,hero,,,,,,,,,,"{""blockType"":""hero"",""order"":0}"
UhtN6rPJaY2J3E22gO8b5W,omnidashBlock,ru,painPoints,,,,,,,,,,"{""blockType"":""painPoints"",""order"":1}"
UhtN6rPJaY2J3E22gO8bM0,omnidashBlock,ua,painPoints,,,,,,,,,,"{""blockType"":""painPoints"",""order"":1}"
UhtN6rPJaY2J3E22gO8bhC,omnidashBlock,ua,ctaBottom,,,,,,,,,,"{""blockType"":""ctaBottom"",""order"":5}"
UhtN6rPJaY2J3E22gO8bxg,omnidashBlock,ro,howItWorks,,,,,,,,,,"{""blockType"":""howItWorks"",""order"":3}"
UhtN6rPJaY2J3E22gO8c76,omnidashBlock,ro,ctaBottom,,,,,,,,,,"{""blockType"":""ctaBottom"",""order"":5}"
jtz4hoaXAenMcB4qySFxck,omnidashBlock,ua,features,,,,,,,,,,"{""blockType"":""features"",""order"":2}"
jtz4hoaXAenMcB4qySFxzd,omnidashBlock,ua,pricing,,,,,,,,,,"{""blockType"":""pricing"",""order"":4}"
jtz4hoaXAenMcB4qySFyEC,omnidashBlock,ro,hero,,,,,,,,,,"{""blockType"":""hero"",""order"":0}"
jtz4hoaXAenMcB4qySFyQg,omnidashBlock,ro,features,,,,,,,,,,"{""blockType"":""features"",""order"":2}"
jtz4hoaXAenMcB4qySmZJ3,omnidashBlock,ru,howItWorks,,,,,,,,,,"{""blockType"":""howItWorks"",""order"":3}"
jtz4hoaXAenMcB4qySmZXc,omnidashBlock,ua,howItWorks,,,,,,,,,,"{""blockType"":""howItWorks"",""order"":3}"
jtz4hoaXAenMcB4qySmZk6,omnidashBlock,ro,painPoints,,,,,,,,,,"{""blockType"":""painPoints"",""order"":1}"
